         3006626 function calls (2810665 primitive calls) in 18.466 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      847    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(parent)
      326    0.003    0.000    0.115    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
       60    0.003    0.000    0.008    0.000 function_base.py:23(linspace)
       21    0.003    0.000    0.010    0.000 enum.py:124(__new__)
    327/4    0.003    0.000   18.354    4.588 <frozen importlib._bootstrap_external>:672(exec_module)
       64    0.003    0.000    0.023    0.000 colors.py:729(from_list)
      363    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
      286    0.003    0.000    0.012    0.000 overrides.py:72(verify_matching_signatures)
     1045    0.003    0.000    0.016    0.000 colors.py:149(to_rgba)
     7092    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
       42    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
  412/179    0.003    0.000    0.047    0.000 sre_parse.py:407(_parse_sub)
     4109    0.003    0.000    0.006    0.000 sre_parse.py:253(get)
     4017    0.003    0.000    0.004    0.000 {built-in method builtins.setattr}
     2019    0.003    0.000    0.003    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
       12    0.002    0.000    0.043    0.004 artist.py:1213(get_aliases)
     1614    0.002    0.000    0.051    0.000 artist.py:1319(is_alias)
      316    0.002    0.000    0.065    0.000 overrides.py:166(decorator)
      707    0.002    0.000    0.002    0.000 _weakrefset.py:70(__contains__)
      179    0.002    0.000    0.093    0.001 sre_compile.py:557(compile)
      410    0.002    0.000    0.008    0.000 copy.py:66(copy)
     3286    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
       35    0.002    0.000    0.039    0.001 __init__.py:357(namedtuple)
        1    0.002    0.002    0.129    0.129 backend_qt5.py:1(<module>)
  381/377    0.002    0.000    0.149    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     1765    0.002    0.000    0.002    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       19    0.002    0.000    0.002    0.000 cycler.py:349(by_key)
       50    0.002    0.000    0.007    0.000 kmc_classes.py:12(__init__)
      179    0.002    0.000    0.053    0.000 sre_parse.py:844(parse)
   260/11    0.002    0.000    0.008    0.001 pyparsing.py:1641(_parseNoCache)
     3852    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
     1552    0.002    0.000    0.002    0.000 {method 'update' of 'dict' objects}
      147    0.002    0.000    0.002    0.000 deprecation.py:24(_generate_deprecation_warning)
      363    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      233    0.002    0.000    0.002    0.000 pyparsing.py:1394(__init__)
      179    0.002    0.000    0.007    0.000 sre_compile.py:482(_compile_info)
       72    0.002    0.000    0.021    0.000 __init__.py:1523(_preprocess_data)
       11    0.002    0.000    0.134    0.012 artist.py:1349(pprint_setters)
      408    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:176(cb)
      361    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      616    0.002    0.000    0.008    0.000 _inspect.py:96(getargspec)
       16    0.002    0.000    0.008    0.001 {built-in method builtins.eval}
     2548    0.002    0.000    0.002    0.000 inspect.py:2781(<genexpr>)
      727    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
     2020    0.002    0.000    0.002    0.000 sre_parse.py:171(append)
      408    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
      132    0.002    0.000    0.009    0.000 deprecation.py:183(deprecate)
     1512    0.002    0.000    0.178    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
     7265    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
       48    0.002    0.000    0.002    0.000 my_exceptions.py:72(_mk_exception)
       50    0.002    0.000    0.020    0.000 kmc_classes.py:92(make_text)
   384/46    0.002    0.000    4.393    0.096 {built-in method builtins.__import__}
       12    0.002    0.000    0.003    0.000 artist.py:1224(<listcomp>)
       20    0.002    0.000    0.002    0.000 {built-in method _imp.create_builtin}
      476    0.002    0.000    0.004    0.000 abc.py:180(__instancecheck__)
     1536    0.002    0.000    0.005    0.000 colors.py:115(_is_nth_color)
     1514    0.001    0.000    0.006    0.000 re.py:169(match)
      326    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
       55    0.001    0.000    0.006    0.000 abc.py:132(__new__)
      408    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:147(__enter__)
       50    0.001    0.000    0.023    0.000 PARAM.py:121(make_system)
      537    0.001    0.000    0.162    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      492    0.001    0.000    0.011    0.000 rcsetup.py:374(validate_color)
     1260    0.001    0.000    0.001    0.000 colors.py:249(<genexpr>)
      408    0.001    0.000    0.004    0.000 artist.py:1326(aliased_name)
      274    0.001    0.000    0.002    0.000 function_base.py:437(_add_docstring)
      449    0.001    0.000    0.002    0.000 artist.py:1301(_replace_path)
      317    0.001    0.000    0.002    0.000 enum.py:353(__setattr__)
        5    0.001    0.000    0.142    0.028 subprocess.py:1228(_execute_child)
        1    0.001    0.001    0.087    0.087 qt_compat.py:65(_setup_pyqt5)
      410    0.001    0.000    0.003    0.000 copy.py:268(_reconstruct)
      655    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      464    0.001    0.000    0.002    0.000 sre_compile.py:388(_simple)
        2    0.001    0.001    0.003    0.002 decoder.py:345(raw_decode)
     2537    0.001    0.000    0.002    0.000 sre_parse.py:248(match)
      274    0.001    0.000    0.010    0.000 function_base.py:451(add_newdoc)
       31    0.001    0.000    0.023    0.001 _collections_abc.py:824(update)
      452    0.001    0.000    0.002    0.000 {built-in method builtins.sorted}
      645    0.001    0.000    0.001    0.000 functools.py:74(wraps)
      688    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:403(cached)
      357    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       24    0.001    0.000    0.004    0.000 traceback.py:319(extract)
      408    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:151(__exit__)
      327    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
     1563    0.001    0.000    0.001    0.000 inspect.py:159(isfunction)
      182    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
